"Descrip.","Na2O  ","MgO   ","P2O5  ","SiO2  ","Al2O3 ","K2O   ","CaO   ","TiO2  ","FeO   ","MnO   ","Total"
"3600-MG-1",6.487,0.620,0.105,68.512,15.308,3.555,1.669,0.697,3.009,0.038,100.0
"3600-MG-2",6.383,0.662,0.081,68.614,15.401,3.347,1.678,0.653,3.091,0.091,100.0
"3600-MG-3",6.419,0.578,0.115,68.652,15.263,3.549,1.705,0.712,2.871,0.137,100.0
"3600-MG-4",6.670,0.691,0.183,68.029,15.361,3.548,1.624,0.693,3.066,0.135,100.0
"3600-MG-5",6.452,0.635,0.098,68.413,15.319,3.397,1.685,0.657,3.202,0.142,100.0
"3600-MG-6",6.549,0.643,0.095,68.754,15.108,3.565,1.623,0.685,2.880,0.099,100.0
"3600-MG-7",5.959,0.627,0.168,69.032,15.340,3.466,1.614,0.668,2.942,0.183,100.0
"3600-MG-8",6.436,0.613,0.057,68.457,15.367,3.520,1.747,0.550,3.105,0.148,100.0
"3600-MG-9",6.508,0.683,0.116,68.188,15.359,3.496,1.586,0.521,3.394,0.149,100.0
"3600-MG-10",6.847,0.636,0.090,68.519,15.280,3.461,1.531,0.625,2.862,0.149,100.0
"3600-MG-11",6.290,0.650,0.081,68.025,15.714,3.633,1.636,0.745,3.126,0.099,100.0
"3600-MG-12",6.241,0.641,0.124,68.495,15.292,3.614,1.516,0.593,3.366,0.117,100.0
"3600-MG-13",6.765,0.623,0.124,68.089,15.260,3.448,1.587,0.579,3.393,0.133,100.0
"3600-MG-14",6.771,0.597,0.107,68.472,15.348,3.410,1.543,0.614,2.990,0.149,100.0
"3600-MG-15",6.423,0.634,0.078,68.979,15.394,3.355,1.662,0.690,2.600,0.185,100.0
"3600-MG-16",6.113,0.607,0.158,68.993,15.413,3.414,1.544,0.730,2.906,0.122,100.0
"3600-MG-17",6.632,0.660,0.071,68.342,15.407,3.616,1.519,0.707,2.910,0.136,100.0
"3600-MG-18",6.209,0.615,0.066,68.975,15.440,3.454,1.535,0.701,2.884,0.122,100.0
"3600-MG-19",6.129,0.627,0.120,68.952,15.384,3.575,1.541,0.646,2.789,0.238,100.0
"3600-MG-20",5.969,0.667,0.142,69.259,15.395,3.515,1.577,0.516,2.851,0.110,100.0
"3600-MG-21",5.904,0.592,0.130,69.270,15.388,3.524,1.685,0.613,2.785,0.109,100.0
"3600-MG-22",6.108,0.612,0.144,68.814,15.312,3.663,1.706,0.597,2.923,0.122,100.0
"3600-MG-23",6.173,0.646,0.103,68.713,15.647,3.489,1.633,0.459,2.953,0.185,100.0
"3600-MG-24",6.435,0.676,0.091,68.514,15.409,3.656,1.667,0.651,2.742,0.158,100.0
"3600-MG-25",6.207,0.603,0.157,68.863,15.593,3.406,1.608,0.579,2.851,0.132,100.0
"3600-MG-26",5.996,0.640,0.117,68.910,15.357,3.351,1.721,0.699,3.003,0.205,100.0
"3600-MG-27",6.204,0.595,0.134,69.140,15.382,3.540,1.594,0.650,2.709,0.053,100.0
"3600-MG-28",6.432,0.658,0.105,69.273,15.226,3.318,1.649,0.533,2.712,0.094,100.0
"3600-MG-29",6.087,0.634,0.066,69.314,15.378,3.326,1.624,0.609,2.836,0.125,100.0
"3600-MG-30",5.648,0.663,0.160,68.479,15.692,3.595,1.651,0.720,3.316,0.075,100.0
"3600-MG-31",5.988,0.618,0.107,68.514,15.867,3.574,1.614,0.738,2.850,0.129,100.0
"3600-MG-32",6.189,0.701,0.133,68.117,15.881,3.593,1.597,0.790,2.863,0.137,100.0
"3600-MG-33",6.058,0.597,0.146,68.208,15.818,3.637,1.685,0.698,3.094,0.062,100.0
"3600-MG-34",5.781,0.642,0.112,68.983,15.641,3.715,1.533,0.814,2.683,0.096,100.0
"3600-MG-35",5.717,0.590,0.091,68.720,15.884,3.458,1.724,0.670,3.091,0.055,100.0
"3600-MG-36",5.623,0.653,0.168,68.706,15.503,3.744,1.687,0.798,3.026,0.093,100.0
"3600-MG-37",5.806,0.709,0.123,68.473,15.556,3.429,1.627,0.753,3.429,0.094,100.0
"3600-MG-38",5.852,0.671,0.095,68.708,15.669,3.558,1.585,0.610,3.112,0.139,100.0
"3600-MG-39",6.170,0.739,0.192,67.629,15.946,3.314,1.761,0.767,3.403,0.079,100.0
"3600-MG-40",6.350,0.704,0.080,68.014,15.965,3.402,1.668,0.715,3.041,0.060,100.0
"3600-MG-41",6.055,0.655,0.144,68.472,15.758,3.667,1.584,0.655,2.944,0.067,100.0
"3600-MG-42",5.934,0.707,0.101,68.693,15.629,3.569,1.525,0.762,3.004,0.075,100.0
"3600-MG-43",6.067,0.654,0.083,68.331,15.518,3.441,1.704,0.913,3.071,0.219,100.0
"3600-MG-44",5.963,0.659,0.076,68.471,15.678,3.485,1.571,1.039,2.934,0.126,100.0
"3600-MG-45",5.971,0.723,0.104,69.069,15.381,3.510,1.573,0.639,2.970,0.060,100.0
