Descrip.	Na2O  	MgO   	P2O5  	SiO2  	Al2O3 	K2O   	CaO   	TiO2  	FeO   	MnO   	Total	Na2O+K2O
HUD110-1 gl trans-4e	4.223	4.510	0.759	52.510	15.265	1.228	8.335	2.240	10.678	0.251	100	5.451
HUD110-1 gl trans-4b	4.025	4.380	0.653	52.526	15.425	1.261	8.426	2.139	11.066	0.099	100	5.286
HUD110-1 gl trans-4f	4.111	4.539	0.730	52.544	15.202	1.275	7.969	2.307	11.131	0.191	100	5.385
HUD110-1 gl tachy-3c	3.887	3.953	0.839	52.559	14.223	1.204	8.528	2.339	12.260	0.208	100	5.091
HUD110-2 gl trans-1b	4.260	4.467	0.877	52.569	14.009	1.504	7.852	2.534	11.694	0.235	100	5.764
HUD110-1 trans 1b	3.659	3.997	1.087	52.591	14.101	1.519	7.799	2.752	12.383	0.113	100	5.177
HUD110-1 gl trans-3d	4.250	4.221	0.779	52.592	15.708	1.152	8.208	2.306	10.705	0.079	100	5.402
HUD110-1 gl trans-1f	4.266	4.141	0.896	52.612	13.959	1.409	7.761	2.581	12.088	0.289	100	5.674
HUD110-3 gl trans 2	4.505	4.024	0.953	52.616	13.805	1.522	7.681	2.681	11.965	0.250	100	6.026
HUD110-3 gl tachy 3a	4.062	3.783	0.903	52.621	15.043	2.152	7.770	2.517	10.798	0.352	100	6.214
HUD110-1 gl trans-4g	3.959	4.458	0.688	52.627	15.231	1.329	8.352	2.316	10.869	0.172	100	5.289
HUD110-1 gl trans-1b	4.492	3.998	0.907	52.640	13.811	1.550	7.768	2.610	12.093	0.131	100	6.042
HUD110-1 gl tachy-2b	3.956	2.952	0.551	52.645	19.194	0.805	9.446	1.800	8.573	0.078	100	4.761
HUD110-1 gl trans-3b	4.202	4.307	0.772	52.685	15.610	1.294	7.947	2.235	10.693	0.255	100	5.496
HUD110-3 gl trans 1	4.155	4.440	0.814	52.713	15.268	1.313	8.113	2.106	10.910	0.168	100	5.468
HUD110-1 gl trans-5b	4.026	4.418	0.772	52.720	15.574	1.004	8.624	2.220	10.422	0.221	100	5.030
HUD110-3 gl trans 7	4.448	4.244	0.916	52.734	14.321	1.405	7.989	2.740	11.094	0.110	100	5.853
HUD110-1 gl trans-1c	4.269	3.912	0.870	52.773	13.830	1.455	7.861	2.565	12.108	0.359	100	5.724
HUD110-1 gl trans-4a	4.088	4.483	0.714	52.787	15.289	1.295	8.023	2.279	10.832	0.210	100	5.383
HUD110-3 gl trans 7a	4.341	4.289	0.914	52.805	14.543	1.435	8.074	2.630	10.756	0.213	100	5.776
HUD110-2 trans 3a	3.779	4.405	0.941	52.805	15.241	1.618	7.812	2.375	10.855	0.168	100	5.397
HUD110-1 gl trans-1d	4.230	3.957	0.936	52.814	14.296	1.402	7.740	2.603	11.810	0.211	100	5.632
HUD110-1 gl tachy-2d	4.239	3.886	0.813	52.818	14.879	1.509	7.551	2.546	11.585	0.175	100	5.748
HUD110-1 gl tachy-3b	3.929	4.159	0.838	52.837	14.058	1.351	8.144	2.436	11.967	0.281	100	5.280
HUD110-1 gl trans-1	4.016	4.023	0.859	52.843	13.969	1.467	7.728	2.636	12.235	0.223	100	5.483
HUD110-1 gl trans-5d	3.952	4.265	0.795	52.849	15.282	1.508	8.124	2.309	10.667	0.248	100	5.460
HUD110-2 gl tachy 2b	3.763	4.589	0.425	52.910	16.652	0.947	11.627	1.794	7.171	0.120	100	4.711
HUD110-3 gl tachy 3	3.729	3.563	0.824	52.916	15.127	2.132	8.082	2.670	10.801	0.156	100	5.860
HUD110-2 gl trans 6d	4.288	4.151	0.743	52.971	16.004	1.143	8.051	2.059	10.485	0.104	100	5.431
HUD110-2 gl trans 3d    4.481	4.229	0.741	53.023	15.027	1.444	8.023	2.339	10.470	0.224	100	5.924
HUD110-3 gl tachy 2     4.414	3.325	0.726	53.025	17.642	1.159	8.574	1.854	9.098	0.183	100	5.573
HUD110-3 gl tachy 6a    4.308	4.101	0.939	53.026	13.709	1.588	8.013	2.810	11.232	0.274	100	5.895
HUD110-1 gl trans-5c    4.404	4.072	0.764	53.124	15.952	1.366	7.325	2.259	10.500	0.235	100	5.770
HUD110-3 gl trans 1a	4.154	4.379	0.834	53.317	15.281	1.663	7.698	2.234	10.104	0.336	100	5.817
HUD110-2 gl tachy 1c	4.156	4.008	0.789	53.446	15.821	1.467	7.799	2.083	10.265	0.167	100	5.623
HUD110-1 gl tachy-2c	4.253	3.449	0.576	53.466	17.424	1.031	9.213	1.850	8.523	0.215	100	5.284
HUD110-2 gl trans 5a	4.486	4.152	0.791	54.193	14.840	1.585	7.272	2.357	10.126	0.198	100	6.071
