"Descrip.","Na2O  ","MgO   ","P2O5  ","SiO2  ","Al2O3 ","K2O   ","CaO   ","TiO2  ","FeO   ","MnO   ","Total"
"1991-P1-MG-1",4.0163,4.0233,0.8593,52.8430,13.9688,1.4667,7.7277,2.6365,12.2351,0.2233,100
"1991-P1-MG-2",4.4918,3.9975,0.9072,52.6403,13.8112,1.5504,7.7684,2.6099,12.0927,0.1307,100
"1991-P1-MG-3",4.2686,3.9117,0.8699,52.7726,13.8303,1.4551,7.8606,2.5648,12.1077,0.3586,100
"1991-P1-MG-4",4.2303,3.9574,0.9360,52.8140,14.2964,1.4022,7.7396,2.6028,11.8102,0.2110,100
"1991-P1-MG-5",4.2494,3.9662,0.7986,52.4964,13.9516,1.4255,7.5916,2.5487,12.8095,0.1625,100
"1991-P1-MG-6",4.2658,4.1407,0.8961,52.6115,13.9592,1.4085,7.7607,2.5810,12.0876,0.2888,100
"1991-P1-MG-7",3.7266,4.7784,0.7474,52.2355,14.4779,1.3415,8.1995,2.2397,12.1423,0.1111,100
"1991-P1-MG-8",3.6064,4.7391,0.8684,52.3628,14.3801,1.3816,8.2871,2.3625,11.9068,0.1051,100
"1991-P1-MG-9",4.6382,4.4014,0.6674,52.2816,15.5763,1.2904,8.2271,2.1978,10.5046,0.2151,100
"1991-P1-MG-10",4.2023,4.3071,0.7716,52.6852,15.6105,1.2938,7.9472,2.2352,10.6925,0.2547,100
"1991-P1-MG-11",4.2498,4.2206,0.7788,52.5923,15.7081,1.1524,8.2078,2.3062,10.7052,0.0787,100
"1991-P1-MG-12",4.0146,4.3519,0.6297,52.3194,15.8214,1.2809,8.1788,2.2338,10.9475,0.2220,100
"1991-P1-MG-13",4.2463,4.1001,0.6529,52.3368,16.1203,1.1345,8.3948,2.0980,10.6865,0.2298,100
"1991-P1-MG-14",4.0877,4.4830,0.7136,52.7870,15.2894,1.2949,8.0233,2.2790,10.8322,0.2101,100
"1991-P1-MG-15",4.0254,4.3799,0.6529,52.5265,15.4248,1.2610,8.4260,2.1388,11.0657,0.0992,100
"1991-P1-MG-16",4.6461,4.0211,0.7386,52.4221,16.1023,1.1756,8.2650,2.1671,10.3059,0.1562,100
"1991-P1-MG-17",4.3979,4.4582,0.6520,52.2291,15.1545,1.3292,8.0078,2.1874,11.3359,0.2480,100
"1991-P1-MG-18",4.2230,4.5103,0.7588,52.5100,15.2654,1.2283,8.3351,2.2399,10.6782,0.2509,100
"1991-P1-MG-19",4.1108,4.5394,0.7303,52.5441,15.2021,1.2745,7.9693,2.3066,11.1314,0.1914,100
"1991-P1-MG-20",3.9592,4.4581,0.6875,52.6269,15.2307,1.3294,8.3516,2.3161,10.8689,0.1716,100
