"Descrip.","Na2O  ","MgO   ","P2O5  ","SiO2  ","Al2O3 ","K2O   ","CaO   ","TiO2  ","FeO   ","MnO   ","Total"
"1991-P1-MG-21",4.0723,4.4075,0.8306,51.3599,14.2824,1.2687,8.0369,2.4888,13.0543,0.1986,100
"1991-P1-MG-22",4.0264,4.4180,0.7724,52.7196,15.5736,1.0039,8.6242,2.2195,10.4215,0.2208,100
"1991-P1-MG-23",4.4040,4.0716,0.7637,53.1238,15.9524,1.3662,7.3248,2.2586,10.4999,0.2351,100
"1991-P1-MG-24",3.9518,4.2652,0.7954,52.8494,15.2817,1.5084,8.1244,2.3094,10.6666,0.2479,100
"1991-P1-MG-25",4.4092,4.7801,0.8499,51.2553,14.6593,1.3146,8.0695,2.2243,12.2913,0.1465,100
"1991-P1-MG-26",4.2596,4.4673,0.8766,52.5689,14.0087,1.5041,7.8517,2.5342,11.6942,0.2347,100
"1991-P1-MG-27",3.8965,4.6296,0.8917,51.9777,13.8236,1.5634,8.1915,2.4785,12.3961,0.1514,100
"1991-P1-MG-28",4.1613,4.9094,0.8373,51.5967,14.1839,1.4360,8.0501,2.5172,12.1538,0.1542,100
"1991-P1-MG-29",4.1351,4.9024,0.8811,52.1442,14.1046,1.4225,7.8831,2.2661,12.0821,0.1786,100
"1991-P1-MG-30",4.3180,4.8133,0.7943,51.7800,14.5698,1.2818,7.9362,2.2679,12.0162,0.2225,100
"1991-P1-MG-31",3.7827,5.2156,0.8803,51.1971,13.5821,1.2245,8.5122,2.4591,12.8639,0.2825,100
"1991-P1-MG-32",4.4805,4.2293,0.7406,53.0226,15.0271,1.4436,8.0233,2.3389,10.4698,0.2242,100
"1991-P1-MG-33",4.0499,5.3176,0.9521,49.8272,12.8417,0.9388,9.2768,2.8684,13.7260,0.2015,100
"1991-P1-MG-34",4.4862,4.1516,0.7911,54.1933,14.8401,1.5845,7.2715,2.3574,10.1260,0.1981,100
"1991-P1-MG-35",3.9747,4.5902,0.7653,52.3247,14.8208,1.3781,8.1785,2.3653,11.3867,0.2156,100
"1991-P1-MG-36",4.2877,4.1505,0.7432,52.9714,16.0040,1.1433,8.0514,2.0592,10.4851,0.1044,100
"1991-P1-MG-37",4.0861,4.9149,0.8042,51.7526,14.3397,1.2202,8.2689,2.2017,12.1960,0.2156,100
"1991-P1-MG-38",3.9556,2.9523,0.5505,52.6448,19.1943,0.8054,9.4460,1.8002,8.5734,0.0776,100
"1991-P1-MG-39",4.2534,3.4486,0.5764,53.4662,17.4244,1.0307,9.2129,1.8501,8.5227,0.2148,100
"1991-P1-MG-40",4.2393,3.8857,0.8134,52.8177,14.8788,1.5087,7.5507,2.5456,11.5846,0.1754,100
"1991-P1-MG-41",3.9289,4.1591,0.8383,52.8374,14.0577,1.3509,8.1441,2.4360,11.9670,0.2806,100
"1991-P1-MG-42",3.8874,3.9527,0.8390,52.5593,14.2228,1.2038,8.5280,2.3389,12.2604,0.2076,100
"1991-P1-MG-43",4.2844,4.4358,0.7337,52.2389,15.4939,1.0011,8.2144,2.3105,11.1823,0.1050,100
"1991-P1-MG-44",4.1563,4.0078,0.7888,53.4456,15.8207,1.4667,7.7990,2.0834,10.2651,0.1665,100
"1991-P1-MG-45",3.9832,4.8020,0.8177,51.9603,14.4684,1.2236,8.9152,2.3361,11.3635,0.1300,100
"1991-P1-MG-46",3.7632,4.5893,0.4251,52.9103,16.6523,0.9473,11.6268,1.7944,7.1715,0.1198,100
"1991-P1-MG-47",4.3692,4.7729,0.8071,50.4708,13.8612,1.0804,9.0319,2.3190,13.0683,0.2191,100
"1991-P1-MG-48",4.8000,3.2172,1.0570,55.0901,17.0664,2.0785,6.8051,1.5802,8.1231,0.1826,100
"1991-P1-MG-49",4.6257,3.1419,0.9773,54.8002,16.7566,2.2037,7.1366,1.6970,8.4028,0.2584,100
"1991-P1-MG-50",4.4035,3.4525,0.9551,55.3041,16.6493,2.0461,6.8669,2.0300,8.1995,0.0931,100
"1991-P1-MG-51",4.3972,3.2857,0.8704,55.3430,16.4940,2.0430,7.0507,1.9408,8.4759,0.0992,100
"1991-P1-MG-52",4.1554,4.4399,0.8140,52.7131,15.2684,1.3126,8.1131,2.1055,10.9101,0.1679,100
"1991-P1-MG-53",4.1543,4.3791,0.8343,53.3171,15.2811,1.6630,7.6983,2.2336,10.1035,0.3356,100
"1991-P1-MG-54",4.5048,4.0240,0.9526,52.6164,13.8047,1.5216,7.6807,2.6807,11.9646,0.2497,100
"1991-P1-MG-55",4.0888,4.8171,0.9242,51.5010,14.3210,0.9839,8.9482,2.4580,11.7123,0.2455,100
"1991-P1-MG-56",4.2764,4.4210,0.7145,52.0499,15.2669,1.1977,8.4224,2.3548,11.1137,0.1827,100
"1991-P1-MG-57",4.4522,4.7020,0.7270,51.7682,15.0609,1.4039,7.9911,2.2833,11.4812,0.1301,100
"1991-P1-MG-58",4.0574,4.2754,0.7695,52.3423,15.6190,1.3099,8.3824,2.1537,10.9105,0.1798,100
"1991-P1-MG-59",3.9960,4.5787,0.9051,52.2115,14.4551,1.4576,7.9995,2.4871,11.6922,0.2169,100
"1991-P1-MG-60",4.2320,4.4537,0.9044,51.9231,14.7012,1.4988,7.9530,2.4714,11.5985,0.2639,100
"1991-P1-MG-61",4.3079,4.1012,0.9395,53.0260,13.7094,1.5875,8.0131,2.8097,11.2319,0.2738,100
"1991-P1-MG-62",4.3263,3.9650,1.0091,52.2099,14.0923,1.6025,8.0359,2.7296,11.7471,0.2823,100
"1991-P1-MG-63",4.2410,2.8672,1.2773,52.4794,14.5560,1.4233,10.2021,2.6384,10.1123,0.2031,100
"1991-P1-MG-64",4.4139,3.3255,0.7259,53.0246,17.6424,1.1592,8.5738,1.8545,9.0976,0.1827,100
"1991-P1-MG-65",4.4480,4.2444,0.9161,52.7340,14.3206,1.4048,7.9889,2.7401,11.0936,0.1095,100
"1991-P1-MG-66",4.3411,4.2893,0.9136,52.8051,14.5432,1.4348,8.0737,2.6299,10.7565,0.2130,100
"1991-P1-MG-67",4.0889,4.3976,0.8926,52.3719,14.3146,1.4237,8.0712,2.4994,11.6857,0.2541,100
"1991-P1-MG-68",3.7286,3.5628,0.8243,52.9160,15.1272,2.1319,8.0816,2.6703,10.8013,0.1561,100
"1991-P1-MG-69",4.0624,3.7826,0.9027,52.6208,15.0426,2.1518,7.7704,2.5172,10.7980,0.3516,100
"1991-P1-MG-70",3.8705,3.9085,1.0345,52.2768,14.3880,1.5302,7.7672,2.6900,12.2837,0.2506,100
"1991-P1-MG-71",3.6586,3.9972,1.0866,52.5909,14.1014,1.5189,7.7989,2.7519,12.3826,0.1131,100
"1991-P1-MG-72",3.7245,3.9111,1.0916,52.3042,14.0192,1.5528,8.1457,2.7068,12.3115,0.2326,100
"1991-P1-MG-73",3.9674,4.6184,0.9868,51.7882,14.9968,1.2003,8.1927,2.4193,11.6382,0.1917,100
"1991-P1-MG-74",3.4094,4.7151,1.0266,52.0029,14.6352,1.4952,8.1775,2.4037,11.9709,0.1635,100
"1991-P1-MG-75",3.6602,4.7430,1.0565,51.5428,14.8213,1.4453,8.3218,2.4754,11.6959,0.2377,100
"1991-P1-MG-76",3.4070,4.8033,0.9378,51.9351,14.6628,1.4685,8.2693,2.4108,11.9454,0.1600,100
"1991-P1-MG-77",3.4637,4.8034,0.9936,51.9476,14.6067,1.4720,8.2401,2.4525,11.7861,0.2343,100
"1991-P1-MG-78",3.3695,4.6284,0.9978,52.3685,14.9267,1.4352,8.1619,2.3617,11.5338,0.2164,100
"1991-P1-MG-79",3.8528,4.5686,0.9397,51.8118,15.1832,1.2894,8.3550,2.3567,11.4658,0.1769,100
"1991-P1-MG-80",3.9780,4.4048,0.9320,51.7580,15.6128,1.3020,8.2812,2.2948,11.2621,0.1744,100
"1991-P1-MG-81",3.9489,4.3969,0.9139,51.4598,15.6184,1.3022,8.6022,2.3336,11.2675,0.1564,100
"1991-P1-MG-82",3.3804,4.5746,0.9189,52.2444,14.9455,1.4805,8.1978,2.3981,11.6157,0.2442,100
"1991-P1-MG-83",3.3234,4.5320,0.9783,52.0342,15.0833,1.4301,8.4159,2.3901,11.5900,0.2227,100
"1991-P1-MG-84",3.7114,5.0237,1.0856,50.9349,13.5691,1.5515,8.1418,2.7792,12.9160,0.2867,100
"1991-P1-MG-85",4.0220,4.7807,0.9948,51.8829,14.4757,1.3302,8.2018,2.4385,11.6320,0.2414,100
"1991-P1-MG-86",4.0652,4.8165,1.0112,51.6583,14.2108,1.4869,7.8645,2.5456,12.0935,0.2475,100
"1991-P1-MG-87",3.8316,4.8230,0.9895,51.1514,14.7079,1.4028,8.1699,2.4542,12.2969,0.1728,100
"1991-P1-MG-88",3.8466,4.6484,0.9539,51.8008,14.7601,1.4168,7.9788,2.4546,11.9010,0.2390,100
"1991-P1-MG-89",3.9213,4.7504,1.0287,51.4067,14.4099,1.3956,8.3667,2.4564,12.0894,0.1749,100
"1991-P1-MG-90",3.7790,4.4054,0.9414,52.8055,15.2410,1.6179,7.8118,2.3753,10.8548,0.1680,100
"1991-P1-MG-91",3.8676,4.5268,1.0048,51.4069,15.2417,1.4613,8.3003,2.4641,11.5294,0.1970,100
"1991-P1-MG-92",4.0692,4.0240,0.9534,52.2698,15.8223,0.9773,8.9245,2.2561,10.5181,0.1852,100
