"Descrip.","Na2O  ","MgO   ","P2O5  ","SiO2  ","Al2O3 ","K2O   ","CaO   ","TiO2  ","FeO   ","MnO   ","Total"
"1991-P2-MG-56",6.519,1.591,0.374,62.984,16.368,2.493,3.436,1.382,4.753,0.101,100.0
"1991-P2-MG-57",6.841,1.580,0.323,62.740,16.109,2.494,3.328,1.194,5.150,0.241,100.0
"1991-P2-MG-58",6.559,1.669,0.416,62.784,16.470,2.406,3.326,1.118,4.995,0.259,100.0
"1991-P2-MG-59",6.380,1.472,0,63.475,16.079,1.946,3.406,1.131,5.867,0.244,100.0
"1991-P2-MG-60",5.838,1.544,0,63.827,16.238,2.189,3.067,1.154,6.010,0.134,100.0
"1991-P2-MG-61",6.743,1.493,0,63.079,15.595,2.192,3.212,1.291,6.078,0.316,100.0
"1991-P2-MG-62",6.287,1.433,0,63.471,16.475,2.477,3.273,1.195,5.155,0.233,100.0
"1991-P2-MG-63",6.637,1.361,0,63.546,16.410,2.371,3.387,1.079,4.950,0.259,100.0
"1991-P2-MG-64",6.848,1.376,0,63.335,16.236,2.499,3.007,1.403,5.165,0.133,100.0
"1991-P2-MG-65",6.572,1.532,0,63.499,16.308,2.238,3.102,1.165,5.451,0.134,100.0
"1991-P2-MG-66",6.022,1.767,0,64.029,16.089,2.547,3.155,1.258,5.033,0.100,100.0
"1991-P2-MG-67",6.305,1.177,0,64.300,16.544,2.551,2.943,1.210,4.816,0.154,100.0
"1991-P2-MG-68",6.158,1.207,0,64.236,16.318,2.546,3.036,1.235,5.111,0.154,100.0
"1991-P2-MG-69",6.408,1.310,0,64.226,16.708,2.218,3.078,1.067,4.792,0.193,100.0
"1991-P2-MG-70",6.040,1.195,0,63.781,17.259,2.376,3.274,0.918,4.871,0.286,100.0
"1991-P2-MG-71",6.571,1.516,0,63.295,16.235,2.468,2.990,1.210,5.476,0.240,100.0
"1991-P2-MG-72",6.760,1.485,0,63.282,16.341,2.325,3.031,1.353,5.129,0.294,100.0
"1991-P2-MG-73",6.641,1.432,0,63.889,16.403,2.568,2.916,1.198,4.768,0.185,100.0
"1991-P2-MG-74",6.390,1.626,0,63.487,16.296,2.359,3.168,1.258,5.213,0.203,100.0
"1991-P2-MG-75",6.276,1.574,0,63.539,16.268,2.561,3.052,1.269,5.311,0.150,100.0
"1991-P2-MG-76",6.091,1.691,0,63.199,16.316,2.458,3.427,1.158,5.344,0.317,100.0
"1991-P2-MG-77",6.029,1.561,0,63.225,16.310,2.502,3.329,1.273,5.574,0.196,100.0
"1991-P2-MG-78",6.637,1.520,0,63.833,16.344,2.567,3.029,1.073,4.943,0.053,100.0
"1991-P2-MG-79",6.049,1.818,0,62.134,16.331,2.340,3.730,1.285,6.084,0.229,100.0
"1991-P2-MG-80",6.633,1.653,0,63.278,16.059,2.467,3.348,1.248,5.151,0.163,100.0
"1991-P2-MG-81",6.019,2.328,0,62.453,15.843,2.044,3.832,1.204,6.050,0.227,100.0
"1991-P2-MG-82",5.633,0.792,0,64.199,13.653,2.690,2.817,2.109,7.815,0.292,100.0
"1991-P2-MG-83",7.205,0.756,0,64.970,16.826,2.800,2.123,1.199,4.028,0.094,100.0
"1991-P2-MG-84",6.679,0.824,0,63.514,17.904,2.880,2.037,1.278,4.797,0.088,100.0
"1991-P2-MG-85",6.551,0.771,0,64.092,17.996,2.686,1.790,1.415,4.578,0.121,100.0
"1991-P2-MG-86",7.018,0.786,0,65.174,16.907,2.694,1.912,1.236,3.992,0.280,100.0
"1991-P2-MG-87",6.463,0.964,0,63.566,17.919,2.510,2.053,1.349,5.006,0.170,100.0
"1991-P2-MG-88",6.478,1.042,0,64.383,16.554,2.878,2.102,1.198,5.176,0.187,100.0
"1991-P2-MG-89",6.666,0.861,0,62.638,19.048,2.515,2.313,1.317,4.508,0.134,100.0
"1991-P2-MG-90",6.592,0.952,0,63.099,18.264,2.817,2.180,1.341,4.494,0.260,100.0
"1991-P2-MG-91",6.740,0.884,0,63.864,17.766,2.602,2.153,1.179,4.691,0.121,100.0
"1991-P2-MG-92",6.698,0.770,0,62.437,19.669,2.521,2.008,1.172,4.536,0.188,100.0
"1991-P2-MG-93",6.492,0.860,0,63.990,18.020,2.692,1.968,1.178,4.598,0.202,100.0
"1991-P2-MG-94",5.016,3.624,0,57.573,19.949,1.824,5.487,1.015,5.347,0.164,100.0
"1991-P2-MG-95",6.565,1.062,0,63.714,16.958,2.903,1.979,1.246,5.393,0.180,100.0
"1991-P2-MG-96",6.720,1.069,0,64.416,16.654,2.656,1.874,1.246,5.184,0.181,100.0
"1991-P2-MG-97",6.833,0.944,0,63.914,17.205,2.798,1.818,1.202,5.073,0.213,100.0
"1991-P2-MG-98",6.591,1.171,0,63.842,16.444,2.693,2.402,1.164,5.364,0.331,100.0
"1991-P2-MG-99",6.630,1.206,0,63.874,16.361,2.827,2.371,1.342,5.235,0.154,100.0
"1991-P2-MG-100",6.687,0.991,0,64.060,17.086,2.714,2.047,1.142,5.031,0.241,100.0
"1991-P2-MG-101",6.499,1.029,0,64.626,16.637,2.631,2.097,1.164,5.063,0.254,100.0
"1991-P2-MG-102",6.603,0.946,0,64.153,17.451,2.674,2.032,1.043,4.848,0.250,100.0
"1991-P2-MG-103",6.079,1.102,0,63.992,17.573,2.734,2.115,1.086,4.976,0.344,100.0
"1991-P2-MG-104",7.406,0.509,0,63.924,17.710,2.455,3.591,0.854,3.386,0.164,100.0
"1991-P2-MG-105",2.737,25.210,0,42.900,4.479,0.728,0.915,0.096,21.972,0.961,100.0
"1991-P2-MG-106",7.240,0.445,0,64.373,17.664,2.437,3.458,0.999,3.376,0.007,100.0
"1991-P2-MG-107",6.894,1.526,0.0,63.069,16.262,2.386,3.158,1.221,5.290,0.193,100.0
"1991-P2-MG-108",6.624,1.521,0.0,63.564,16.186,2.576,3.112,1.229,5.069,0.120,100.0
"1991-P2-MG-109",6.585,1.270,0.0,64.908,16.512,2.485,2.685,0.975,4.479,0.101,100.0
"1991-P2-MG-110",6.746,1.352,0.0,64.510,16.387,2.555,2.786,1.073,4.443,0.148,100.0
"1991-P2-MG-111",6.582,1.355,0.0,64.920,16.372,2.643,2.730,1.035,4.216,0.148,100.0
"1991-P2-MG-112",6.633,1.452,0.0,63.068,16.510,2.443,3.061,1.296,5.312,0.225,100.0
"1991-P2-MG-113",6.924,1.537,0.0,63.253,16.354,2.551,3.052,1.158,4.936,0.234,100.0
"1991-P2-MG-114",6.482,1.500,0.0,63.999,16.412,2.402,2.977,1.268,4.784,0.176,100.0
"1991-P2-MG-115",6.814,1.474,0.0,64.069,16.222,2.490,3.115,0.986,4.682,0.148,100.0
