"Descrip.","Na2O  ","MgO   ","P2O5  ","SiO2  ","Al2O3 ","K2O   ","CaO   ","TiO2  ","FeO   ","MnO   ","Total"
"6700-MG-73",6.0134,1.6815,0.4652,64.0429,15.8378,2.5452,3.1542,1.4303,4.6508,0.1787,100.0
"6700-MG-74",6.1472,1.5626,0.4142,63.6388,16.0141,2.5575,2.8064,1.2895,5.3213,0.2483,100.0
"6700-MG-75",6.9357,1.5401,0.3878,62.6603,15.9599,2.6491,3.3008,1.3840,5.0345,0.1479,100.0
"6700-MG-76",6.5860,1.6778,0.4901,62.8904,15.7190,2.5536,3.3406,1.5372,5.0325,0.1728,100.0
"6700-MG-77",6.3848,1.7483,0.4030,63.1289,15.8812,2.4641,3.3244,1.4109,5.0326,0.2219,100.0
"6700-MG-78",6.7248,1.7583,0.4551,62.9045,15.6880,2.6049,3.4247,1.4662,4.8208,0.1526,100.0
"6700-MG-79",6.4693,1.5854,0.3894,63.9052,15.7335,2.5861,3.1567,1.2100,4.7437,0.2208,100.0
"6700-MG-80",6.7209,1.5549,0.3940,62.9147,15.7019,2.6745,3.2763,1.2839,5.3208,0.1580,100.0
"6700-MG-81",6.3876,1.3717,0.3265,63.7169,15.9670,2.6969,3.0415,1.3040,5.1106,0.0773,100.0
"6700-MG-82",6.3297,1.3711,0.4187,64.0579,15.7807,2.5170,3.2649,1.2889,4.7695,0.2017,100.0
"6700-MG-83",6.4232,1.5294,0.4054,63.7642,15.7069,2.5159,3.0475,1.3874,4.9850,0.2350,100.0
"6700-MG-84",6.5077,1.4696,0.4006,63.7006,15.5738,2.6200,3.0816,1.2715,5.1332,0.2415,100.0
"6700-MG-85",6.5164,1.3557,0.3756,63.1856,16.6808,2.4670,3.6610,1.1655,4.4601,0.1323,100.0
"6700-MG-86",6.6359,1.5709,0.4519,63.5096,15.6632,2.7563,3.2101,1.3143,4.7558,0.1320,100.0
"6700-MG-87",6.4430,1.5444,0.3874,63.9683,15.9353,2.6658,3.1738,1.2100,4.5530,0.1191,100.0
"6700-MG-88",6.1362,1.5434,0.3993,64.4353,15.7817,2.6362,3.1065,1.3011,4.5835,0.0768,100.0
"6700-MG-89",5.9505,1.4972,0.3361,64.1584,16.1373,2.8605,3.1189,1.2371,4.5349,0.1692,100.0
"6700-MG-90",6.0210,1.6096,0.4234,63.7501,16.0357,2.6061,3.2565,1.3281,4.7724,0.1970,100.0
"6700-MG-91",6.2684,1.5309,0.3946,63.6272,15.9107,2.5404,3.1481,1.3167,5.1505,0.1125,100.0
